timestamp,open,high,low,close,volume
2020-01-01,0,0,0,9018.3245787114,0
2019-12-01,0,0,0,9014.7842313552,0
2019-11-29,0,0,0,8790.7193101883,0
2019-10-31,0,0,0,8445.6907915385,0
2019-09-30,0,0,0,8425.0894610317,0
2019-08-30,0,0,0,8177.0356957626,0
2019-07-31,0,0,0,8282.7350736158,0
2019-06-28,0,0,0,8022.2407879694,0
2019-05-31,0,0,0,7657.880979662,0
2019-04-30,0,0,0,8087.6998528691,0
2019-03-29,0,0,0,7804.174652558,0
2019-02-28,0,0,0,7594.3248377394,0
2019-01-31,0,0,0,7320.4226767196,0
2018-12-31,0,0,0,6777.3388447049,0
2018-11-30,0,0,0,7426.309653144,0
2018-10-31,0,0,0,7341.9543530701,0
2018-09-28,0,0,0,7721.4410596939,0
2018-08-31,0,0,0,7676.2157832176,0
2018-07-31,0,0,0,7528.3124283441,0
2018-06-29,0,0,0,7305.3241870702,0
2018-05-31,0,0,0,7296.1600629442,0
2018-04-30,0,0,0,7012.2881671648,0
2018-03-30,0,0,0,6793.4175386189,0
2018-02-28,0,0,0,7011.6857342027,0
2018-01-31,0,0,0,7182.4998992951,0
2017-12-29,0,0,0,7054.8759655687,0
2017-11-30,0,0,0,7023.4417446741,0
2017-10-31,0,0,0,7012.6534361105,0
2017-09-29,0,0,0,6781.8028764806,0
2017-08-31,0,0,0,6573.9277775448,0
2017-07-31,0,0,0,6608.7757688408,0
2017-06-30,0,0,0,6687.05234401,0
2017-05-31,0,0,0,6763.7242520189,0
2017-04-28,0,0,0,6830.8774249227,0
2017-03-31,0,0,0,6869.3322959533,0
2017-02-28,0,0,0,6852.8869889249,0
2017-01-31,0,0,0,6526.9867733689,0
2016-12-30,0,0,0,6536.1451048951,0
2016-11-30,0,0,0,6338.0176286286,0
2016-10-31,0,0,0,6030.8209689767,0
2016-09-30,0,0,0,6005.4810739593,0
2016-08-31,0,0,0,6011.364145583,0
2016-07-29,0,0,0,5991.9010304852,0
2016-06-30,0,0,0,5786.9243724726,0
2016-05-31,0,0,0,5835.6855979946,0
2016-04-29,0,0,0,5637.4348042599,0
2016-03-31,0,0,0,5577.9764519814,0
2016-02-29,0,0,0,5458.2372451558,0
2016-01-29,0,0,0,5521.6641589204,0
2015-12-31,0,0,0,5856.6134155886,0
2015-11-30,0,0,0,6121.6214682318,0
2015-10-30,0,0,0,5908.4142218345,0
2015-09-30,0,0,0,5389.593047712,0
2015-08-31,0,0,0,5575.0633363069,0
2015-07-31,0,0,0,6092.5100182149,0
2015-06-30,0,0,0,5895.3344999327,0
2015-05-29,0,0,0,6123.0054644809,0
2015-04-30,0,0,0,5969.6040663456,0
2015-03-31,0,0,0,6086.8284825801,0
2015-02-27,0,0,0,5931.9170613996,0
2015-01-30,0,0,0,5546.9410515136,0
2014-12-31,0,0,0,5273.5983471074,0
2014-11-28,0,0,0,5210.077955477,0
2014-10-31,0,0,0,5072.744550028,0
2014-09-30,0,0,0,4996.253365004,0
2014-08-29,0,0,0,4934.5992845727,0
2014-07-31,0,0,0,4736.5058261129,0
2014-06-30,0,0,0,4704.9594683415,0
2014-05-30,0,0,0,4641.3329909765,0
2014-04-30,0,0,0,4470.501947209,0
2014-03-31,0,0,0,4452.6188920351,0
2014-02-28,0,0,0,4434.0027530247,0
2014-01-31,0,0,0,4319.6848583717,0
2013-12-31,0,0,0,4396.1193487426,0
2013-11-29,0,0,0,4358.5711130742,0
2013-10-31,0,0,0,4279.2530173683,0
2013-09-30,0,0,0,4137.5164558834,0
2013-08-30,0,0,0,4029.8781779661,0
2013-07-31,0,0,0,4090.9649518652,0
2013-06-28,0,0,0,3969.1717249328,0
2013-05-31,0,0,0,4073.7265312404,0
2013-04-30,0,0,0,4016.0443566763,0
2013-03-29,0,0,0,3996.6942342202,0
2013-02-28,0,0,0,3828.8680544926,0
2013-01-31,0,0,0,3674.4155748565,0
2012-12-31,0,0,0,3598.3170417519,0
2012-11-30,0,0,0,3587.663457836,0
2012-10-31,0,0,0,3548.0674538859,0
2012-09-28,0,0,0,3598.6809768238,0
2012-08-31,0,0,0,3580.2918953313,0
2012-07-31,0,0,0,3568.0891201822,0
2012-06-29,0,0,0,3420.0529058749,0
2012-05-31,0,0,0,3332.6909385113,0
2012-04-30,0,0,0,3401.0572421085,0
2012-03-30,0,0,0,3411.933743067,0
2012-02-29,0,0,0,3371.3441909337,0
2012-01-31,0,0,0,3270.0695187166,0
2011-12-30,0,0,0,3144.162037037,0
2011-11-30,0,0,0,3032.4107142857,0
2011-10-31,0,0,0,3016.0391533627,0
2011-09-30,0,0,0,2825.2722384047,0
2011-08-31,0,0,0,2878.1987620836,0
2011-07-29,0,0,0,3090.6653239808,0
2011-06-30,0,0,0,3126.6961081976,0
2011-05-31,0,0,0,3197.1108023619,0
2011-04-29,0,0,0,3170.5051323609,0
2011-03-31,0,0,0,3175.4091999436,0
2011-02-28,0,0,0,3290.2788036788,0
2011-01-31,0,0,0,3205.0032868308,0
2010-12-31,0,0,0,3204.8744957418,0
2010-11-30,0,0,0,3077.5702950466,0
2010-10-29,0,0,0,2926.4204789904,0
2010-09-30,0,0,0,2886.4697681245,0
2010-08-31,0,0,0,2834.8849306431,0
2010-07-30,0,0,0,2862.1472909802,0
2010-06-30,0,0,0,2823.6518966645,0
2010-05-31,0,0,0,2904.7261943452,0
2010-04-30,0,0,0,2971.2766117506,0
2010-03-31,0,0,0,2922.3752406338,0
2010-02-26,0,0,0,2725.2806103734,0
2010-01-29,0,0,0,2641.7661063415,0
2009-12-31,0,0,0,2665.125968316,0
2009-11-30,0,0,0,2499.2043182727,0
2009-10-30,0,0,0,2447.3815834183,0
2009-09-30,0,0,0,2504.6160153047,0
2009-08-31,0,0,0,2459.2288904396,0
2009-07-31,0,0,0,2373.0422278339,0
2009-06-30,0,0,0,2221.5760598504,0
2009-05-29,0,0,0,2211.0070621469,0
2009-04-30,0,0,0,2168.4731150269,0
2009-03-31,0,0,0,1945.3334340307,0
2009-02-27,0,0,0,1889.4033149171,0
2009-01-30,0,0,0,2080.2864949258,0
2008-12-31,0,0,0,2089.8883401331,0
2008-11-28,0,0,0,2228.2174940898,0
2008-10-31,0,0,0,2373.1924587588,0
2008-09-30,0,0,0,2640.232376904,0
2008-08-29,0,0,0,2881.2867170994,0
2008-07-31,0,0,0,2747.9444765019,0
2008-06-30,0,0,0,2788.1495588142,0
2008-05-30,0,0,0,3067.7681327161,0
2008-04-30,0,0,0,3005.0432165952,0
2008-03-31,0,0,0,2827.2868020305,0
2008-02-29,0,0,0,2962.8345522831,0
2008-01-31,0,0,0,3044.6336206897,0
2007-12-31,0,0,0,3353.3488658946,0
2007-11-30,0,0,0,3387.3610826328,0
2007-10-31,0,0,0,3569.3324118867,0
2007-09-28,0,0,0,3512.3864273696,0
2007-08-31,0,0,0,3508.5301240185,0
2007-07-31,0,0,0,3497.0927171688,0
2007-06-29,0,0,0,3613.33111653,0
2007-05-31,0,0,0,3662.3225039031,0
2007-04-30,0,0,0,3509.5059013269,0
2007-03-30,0,0,0,3432.079089275,0
2007-02-28,0,0,0,3401.5865093769,0
2007-01-31,0,0,0,3470.9837198587,0
2006-12-29,0,0,0,3385.0977717144,0
2006-11-30,0,0,0,3305.5011707833,0
2006-10-31,0,0,0,3344.8691632717,0
2006-09-29,0,0,0,3248.2084253708,0
2006-08-31,0,0,0,3176.9400187442,0
2006-07-31,0,0,0,3104.2307692308,0
2006-06-30,0,0,0,3078.5246286161,0
2006-05-31,0,0,0,3072.3926954893,0
2006-04-28,0,0,0,3223.8964534516,0
2006-03-31,0,0,0,3260.1972435421,0
2006-02-28,0,0,0,3239.1675050302,0
2006-01-31,0,0,0,3184.1722235943,0
2005-12-30,0,0,0,3124.9324666554,0
2005-11-30,0,0,0,3071.2163881585,0
2005-10-31,0,0,0,2922.7699883158,0
2005-09-30,0,0,0,2984.1247401247,0
2005-08-31,0,0,0,2833.5340356564,0
2005-07-29,0,0,0,2858.762980056,0
2005-06-30,0,0,0,2771.2694343368,0
2005-05-31,0,0,0,2698.3164052978,0
2005-04-29,0,0,0,2532.7351821642,0
2005-03-31,0,0,0,2569.5378799568,0
2005-02-28,0,0,0,2568.9565677966,0
2005-01-31,0,0,0,2521.2225032575,0
2004-12-31,0,0,0,2481.0544945063,0
2004-11-30,0,0,0,2438.9453477868,0
2004-10-29,0,0,0,2405.3345841151,0
2004-09-30,0,0,0,2416.0733826843,0
2004-08-31,0,0,0,2418.73727422,0
2004-07-30,0,0,0,2439.0350220448,0
2004-06-30,0,0,0,2487.1484855947,0
2004-05-31,0,0,0,2433.8887977694,0
2004-04-30,0,0,0,2452.704664942,0
2004-03-31,0,0,0,2435.3012830924,0
2004-02-27,0,0,0,2416.2663143566,0
2004-01-30,0,0,0,2380.4011553274,0
2003-12-31,0,0,0,2319.5947878595,0
2003-11-28,0,0,0,2289.4831610537,0
2003-10-31,0,0,0,2335.0030216697,0
2003-09-30,0,0,0,2190.1698841699,0
2003-08-29,0,0,0,2310.1575591986,0
2003-07-31,0,0,0,2210.2466387677,0
2003-06-30,0,0,0,2111.3401614443,0
2003-05-30,0,0,0,2028.5326317576,0
2003-04-30,0,0,0,2021.2467578929,0
2003-03-31,0,0,0,1903.1886982846,0
2003-02-28,0,0,0,1926.9933308633,0
2003-01-31,0,0,0,1965.2961931291,0
2002-12-31,0,0,0,2079.4302591464,0
2002-11-29,0,0,0,2306.4004827517,0
2002-10-31,0,0,0,2197.2275527725,0
2002-09-30,0,0,0,2051.4543244886,0
2002-08-30,0,0,0,2316.8058242542,0
2002-07-31,0,0,0,2323.5908718788,0
2002-06-28,0,0,0,2501.2964083939,0
2002-05-31,0,0,0,2829.8713136729,0
2002-04-30,0,0,0,2926.2554184728,0
2002-03-29,0,0,0,3127.0316804408,0
2002-02-28,0,0,0,3001.9714581655,0
2002-01-31,0,0,0,3065.4509438359,0
2001-12-31,0,0,0,3047.2455627949,0
2001-11-30,0,0,0,3008.9138200491,0
2001-10-31,0,0,0,2828.1327109036,0
2001-09-28,0,0,0,2743.9008573313,0
2001-08-31,0,0,0,3003.3278472679,0
2001-07-31,0,0,0,3282.3201644211,0
2001-06-29,0,0,0,3427.0776470588,0
2001-05-31,0,0,0,3550.7746811526,0
2001-04-30,0,0,0,3425.144560693,0
2001-03-30,0,0,0,3225.3038233955,0
2001-02-28,0,0,0,3286.0671722644,0
2001-01-31,0,0,0,3538.3742790002,0
2000-12-29,0,0,0,3448.856930588,0
2000-11-30,0,0,0,3665.831231369,0
2000-10-31,0,0,0,4008.878680801,0
2000-09-29,0,0,0,3916.5949983026,0
2000-08-31,0,0,0,4113.2252982219,0
2000-07-31,0,0,0,3822.6946754509,0
2000-06-30,0,0,0,3823.8979313242,0
2000-05-31,0,0,0,3756.4295616935,0
2000-04-28,0,0,0,3962.1063596491,0
2000-03-31,0,0,0,3946.1527196653,0
2000-02-29,0,0,0,3657.6995645864,0
2000-01-31,0,0,0,3629.7224801403,0
1999-12-31,0,0,0,3705.6196623635,0
1999-11-30,0,0,0,3421.2845673506,0
1999-10-29,0,0,0,3182.4611300721,0
1999-09-30,0,0,0,2986.8704362479,0
1999-08-31,0,0,0,3049.9687559174,0
1999-07-30,0,0,0,3014.1560018683,0
1999-06-30,0,0,0,3125.8829211747,0
1999-05-31,0,0,0,2966.6957773513,0
1999-04-30,0,0,0,3036.5291055372,0
1999-03-31,0,0,0,2866.7050627032,0
1999-02-26,0,0,0,2687.322870362,0
1999-01-29,0,0,0,2677.7752354132,0
1998-12-31,0,0,0,2540.016210221,0
1998-11-30,0,0,0,2447.2484263172,0
1998-10-30,0,0,0,2254.1432418785,0
1998-09-30,0,0,0,2083.0610687023,0
1998-08-31,0,0,0,2135.8218996194,0
1998-07-31,0,0,0,2510.0477908025,0
1998-06-30,0,0,0,2546.5533936238,0
1998-05-29,0,0,0,2469.7931785196,0
1998-04-30,0,0,0,2502.8098048116,0
1998-03-31,0,0,0,2535.7761263354,0
1998-02-27,0,0,0,2407.1899990808,0
1998-01-30,0,0,0,2276.0928074246,0
1997-12-31,0,0,0,2171.5182960131,0
1997-11-28,0,0,0,2099.3683741648,0
1997-10-31,0,0,0,2026.436761488,0
1997-09-30,0,0,0,2197.3309352518,0
1997-08-29,0,0,0,2131.1284833993,0
1997-07-31,0,0,0,2314.4202087994,0
1997-06-30,0,0,0,2107.3050967857,0
1997-05-30,0,0,0,1981.7229285401,0
1997-04-30,0,0,0,1891.9137777778,0
1997-03-31,0,0,0,1767.9178105697,0
1997-02-28,0,0,0,1833.6377911542,0
1997-01-31,0,0,0,1762.0625901111,0
1996-12-31,0,0,0,1637.7236096705,0
1996-11-29,0,0,0,1663.8260869565,0
1996-10-31,0,0,0,1562.5551950621,0
1996-09-30,0,0,0,1568.5734858789,0
1996-08-30,0,0,0,1482.4,0
1996-07-31,0,0,0,1461.029619182,0
1996-06-28,0,0,0,1555.0905286875,0
1996-05-31,0,0,0,1551.9859530153,0
1996-04-30,0,0,0,1565.9165035877,0
1996-03-29,0,0,0,1494.2158502589,0
1996-02-29,0,0,0,1470.5475848876,0
1996-01-31,0,0,0,1486.3769760843,0
1995-12-29,0,0,0,1409.986687549,0
1995-11-30,0,0,0,1371.8345098039,0
1995-10-31,0,0,0,1299.5655517109,0
1995-09-29,0,0,0,1324.075273793,0
1995-08-31,0,0,0,1309.0738560553,0
1995-07-31,0,0,0,1272.8223880597,0
1995-06-30,0,0,0,1219.5907179333,0
1995-05-31,0,0,0,1245.0686086623,0
1995-04-28,0,0,0,1215.5450702099,0
1995-03-31,0,0,0,1168.386660658,0
1995-02-28,0,0,0,1167.5881334592,0
1995-01-31,0,0,0,1180.2163209299,0
1994-12-30,0,0,0,1209.8940246189,0
1994-11-30,0,0,0,1207.6170912079,0
1994-10-31,0,0,0,1211.7521300095,0
1994-09-30,0,0,0,1210.8887447292,0
1994-08-31,0,0,0,1266.7614011897,0
1994-07-29,0,0,0,1233.3930051384,0
1994-06-30,0,0,0,1209.1694269626,0
1994-05-31,0,0,0,1250.8552631579,0
1994-04-29,0,0,0,1254.6128727335,0
1994-03-31,0,0,0,1225.4192990048,0
1994-02-28,0,0,0,1304.2207334274,0
1994-01-31,0,0,0,1342.6455832288,0
1993-12-31,0,0,0,1262.2007722008,0
1993-11-30,0,0,0,1196.9966053243,0
1993-10-29,0,0,0,1243.8875262789,0
1993-09-30,0,0,0,1190.5230053421,0
1993-08-31,0,0,0,1237.3652747253,0
1993-07-30,0,0,0,1233.0248327683,0
1993-06-30,0,0,0,1147.6858784607,0
1993-05-31,0,0,0,1076.7741412832,0
1993-04-30,0,0,0,1055.0812215725,0
1993-03-31,0,0,0,1030.266434263,0
1993-02-26,0,0,0,996.1277173913,0
1993-01-29,0,0,0,944.9760805015,0
1992-12-31,0,0,0,948.0651054642,0
1992-11-30,0,0,0,925.2345154437,0
1992-10-30,0,0,0,879.2750415053,0
1992-09-30,0,0,0,828.7644115728,0
1992-08-31,0,0,0,828.7647312446,0
1992-07-31,0,0,0,854.3082644001,0
1992-06-30,0,0,0,877.0010155457,0
1992-05-29,0,0,0,956.9405075808,0
1992-04-30,0,0,0,946.5324631293,0
1992-03-31,0,0,0,929.4176232275,0
1992-02-28,0,0,0,969.7062526227,0
1992-01-31,0,0,0,968.5975609756,0
1991-12-31,0,0,0,932.9645500584,0
1991-11-29,0,0,0,930.9459459459,0
1991-10-31,0,0,0,997.4888850889,0
1991-09-30,0,0,0,977.8982790935,0
1991-08-30,0,0,0,1002.7212409217,0
1991-07-31,0,0,0,1003.9479101405,0
1991-06-28,0,0,0,996.3224485999,0
1991-05-31,0,0,0,1017.7633104432,0
1991-04-30,0,0,0,982.3463637964,0
1991-03-29,0,0,0,963.5349930362,0
1991-02-28,0,0,0,891.7258367219,0
1991-01-31,0,0,0,790.8085783571,0
1990-12-31,0,0,0,772.6020878109,0
1990-11-30,0,0,0,758.1832166756,0
1990-10-31,0,0,0,778.7192041657,0
1990-09-28,0,0,0,735.946184739,0
1990-08-31,0,0,0,827.5119191919,0
1990-07-31,0,0,0,919.4863654864,0
1990-06-29,0,0,0,955.9275708917,0
1990-05-31,0,0,0,981.9149677644,0
1990-04-30,0,0,0,877.6627066116,0
1990-03-30,0,0,0,895.4225108225,0
1990-02-28,0,0,0,957.4404036889,0
1990-01-31,0,0,0,995.0566952307,0
1989-12-29,0,0,0,1044.5291518669,0
1989-11-30,0,0,0,1065.9541845396,0
1989-10-31,0,0,0,1060.2842035691,0
1989-09-29,0,0,0,1115.3226425965,0
1989-08-31,0,0,0,1134.0716939452,0
1989-07-31,0,0,0,1107.1003539654,0
1989-06-30,0,0,0,1041.8901583484,0
1989-05-31,0,0,0,1065.2396392745,0
1989-04-28,0,0,0,1038.9808118793,0
1989-03-31,0,0,0,1024.0678790236,0
1989-02-28,0,0,0,990.6235393101,0
1989-01-31,0,0,0,1026.8775883656,0
1988-12-30,0,0,0,935.5360552878,0
1988-11-30,0,0,0,907.523368646,0
1988-10-31,0,0,0,899.9141160347,0
1988-09-30,0,0,0,886.7950441798,0
1988-08-31,0,0,0,853.0921876505,0
1988-07-29,0,0,0,900.780694164,0
1988-06-30,0,0,0,856.6523805087,0
1988-05-31,0,0,0,816.166326802,0
1988-04-29,0,0,0,806.4150781384,0
1988-03-31,0,0,0,787.3685998132,0
1988-02-29,0,0,0,779.103107956,0
1988-01-29,0,0,0,731.8648881239,0
1987-12-31,0,0,0,668.558195731,0
1987-11-30,0,0,0,669.0217848431,0
1987-10-30,0,0,0,722.3227578873,0
1987-09-30,0,0,0,927.5007086837,0
1987-08-31,0,0,0,927.3955431755,0
1987-07-31,0,0,0,898.7770469927,0
1987-06-30,0,0,0,865.5089427849,0
1987-05-29,0,0,0,864.8035914703,0
1987-04-30,0,0,0,851.3426779786,0
1987-03-31,0,0,0,805.5954910838,0
1987-02-27,0,0,0,769.2737325462,0
1987-01-30,0,0,0,746.806090798,0
1986-12-31,0,0,0,701.1076043002,0
1986-11-28,0,0,0,704.9726831242,0
1986-10-31,0,0,0,706.276022403,0
1986-09-30,0,0,0,706.7886474686,0
1986-08-29,0,0,0,738.748564868,0
1986-07-31,0,0,0,698.615136876,0
1986-06-30,0,0,0,728.3613587631,0
1986-05-30,0,0,0,739.4635832638,0
1986-04-30,0,0,0,690.4496003552,0
1986-03-31,0,0,0,727.6731601732,0
1986-02-28,0,0,0,630.4599016131,0
1986-01-31,0,0,0,618.776784621,0
1985-12-31,0,0,0,624.511353657,0
1985-11-29,0,0,0,612.4104612213,0
1985-10-31,0,0,0,604.3593875907,0
1985-09-30,0,0,0,586.3186813187,0
1985-08-30,0,0,0,610.3819544537,0
1985-07-31,0,0,0,602.6237979044,0
1985-06-28,0,0,0,638.6579683131,0
1985-05-31,0,0,0,633.3647058824,0
1985-04-30,0,0,0,609.8649507467,0
1985-03-29,0,0,0,608.1425861524,0
1985-02-28,0,0,0,637.2085048011,0
1985-01-31,0,0,0,601.2131041194,0
1984-12-31,0,0,0,568.0828344928,0
1984-11-30,0,0,0,548.1709456227,0
1984-10-31,0,0,0,535.8772338772,0
1984-09-28,0,0,0,537.0562293275,0
1984-08-31,0,0,0,506.7511111111,0
1984-07-31,0,0,0,462.9146177917,0
1984-06-29,0,0,0,458.9273998003,0
1984-05-31,0,0,0,446.5303263762,0
1984-04-30,0,0,0,480.556795981,0
1984-03-30,0,0,0,459.4360202181,0
1984-02-29,0,0,0,439.2179589662,0
1984-01-31,0,0,0,483.7637203928,0
1983-12-30,0,0,0,463.8312141959,0
1983-11-30,0,0,0,453.2742872959,0
1983-10-31,0,0,0,430.5127513156,0
1983-09-30,0,0,0,435.3123734989,0
1983-08-31,0,0,0,436.9727561886,0
1983-07-29,0,0,0,426.4760999457,0
1983-06-30,0,0,0,416.3205211726,0
1983-05-31,0,0,0,400.7443365696,0
1983-04-29,0,0,0,395.1479888692,0
1983-03-31,0,0,0,363.2174021441,0
1983-02-28,0,0,0,350.9921377761,0
1983-01-31,0,0,0,347.9294653015,0
1982-12-31,0,0,0,328.3465431045,0
1982-11-30,0,0,0,325.4872961699,0
1982-10-29,0,0,0,320.7259123129,0
1982-09-30,0,0,0,296.1812759336,0
1982-08-31,0,0,0,290.7886314172,0
1982-07-30,0,0,0,267.5328780981,0
1982-06-30,0,0,0,269.974779319,0
1982-05-31,0,0,0,269.5702936928,0
1982-04-30,0,0,0,274.3803035736,0
1982-03-31,0,0,0,270.9706210487,0
1982-02-26,0,0,0,274.8806171177,0
1982-01-29,0,0,0,283.5514906759,0
1981-12-31,0,0,0,277.6798623064,0
1981-11-30,0,0,0,280.3541832217,0
1981-10-30,0,0,0,264.1493155412,0
1981-09-30,0,0,0,265.2628442007,0
1981-08-31,0,0,0,301.608935743,0
1981-07-31,0,0,0,310.2597567157,0
1981-06-30,0,0,0,305.445617481,0
1981-05-29,0,0,0,297.43130227,0
1981-04-30,0,0,0,287.490649439,0
1981-03-31,0,0,0,274.0952380952,0
1981-02-27,0,0,0,266.9380395585,0
1981-01-30,0,0,0,265.971356729,0
1980-12-31,0,0,0,253.2574377656,0
1980-11-28,0,0,0,252.5316205534,0
1980-10-31,0,0,0,239.4878811572,0
1980-09-30,0,0,0,221.0717605503,0
1980-08-29,0,0,0,211.8926865123,0
1980-07-31,0,0,0,206.2515975899,0
1980-06-30,0,0,0,198.0246020261,0
1980-05-30,0,0,0,190.2763085902,0
1980-04-30,0,0,0,183.3031841255,0
1980-03-31,0,0,0,186.2944060843,0
1980-02-29,0,0,0,189.830523918,0
1980-01-31,0,0,0,185.9701359084,0
1979-12-31,0,0,0,173.4215417294,0
1979-11-30,0,0,0,169.0934090304,0
1979-10-31,0,0,0,170.8621646624,0
1979-09-28,0,0,0,177.9835684944,0
1979-08-31,0,0,0,182.1792832413,0
1979-07-31,0,0,0,175.7822489658,0
1979-06-29,0,0,0,174.5911831198,0
1979-05-31,0,0,0,176.1344949099,0
1979-04-30,0,0,0,178.0778967868,0
1979-03-30,0,0,0,175.1718854735,0
1979-02-28,0,0,0,166.5479582146,0
1979-01-31,0,0,0,171.5126776796,0
1978-12-29,0,0,0,162.2937663307,0
1978-11-30,0,0,0,166.3209412695,0
1978-10-31,0,0,0,156.6426836946,0
1978-09-29,0,0,0,176.3763793618,0
1978-08-31,0,0,0,178.6215334421,0
1978-07-31,0,0,0,178.7814818685,0
1978-06-30,0,0,0,169.3666985443,0
1978-05-31,0,0,0,168.9954974271,0
1978-04-28,0,0,0,165.353041259,0
1978-03-31,0,0,0,152.3211723714,0
1978-02-28,0,0,0,146.8293187222,0
1978-01-31,0,0,0,154.808317089,0
1977-12-30,0,0,0,158.2392169517,0
1977-11-30,0,0,0,164.1909753874,0
1977-10-31,0,0,0,164.085189888,0
1977-09-30,0,0,0,171.006274417,0
1977-08-31,0,0,0,169.4021157732,0
1977-07-29,0,0,0,166.5938454311,0
1977-06-30,0,0,0,172.3778658024,0
1977-05-31,0,0,0,167.2323696625,0
1977-04-29,0,0,0,168.9849124925,0
1977-03-31,0,0,0,169.5758764403,0
1977-02-28,0,0,0,170.3331700147,0
1977-01-31,0,0,0,172.2355264782,0
1976-12-31,0,0,0,174.5467747791,0
1976-11-30,0,0,0,165.2824370992,0
1976-10-29,0,0,0,165.3697551372,0
1976-09-30,0,0,0,173.7183168935,0
1976-08-31,0,0,0,178.6610499028,0
1976-07-30,0,0,0,179.9517601043,0
1976-06-30,0,0,0,183.796381883,0
1976-05-31,0,0,0,179.3512363733,0
1976-04-30,0,0,0,178.2366710013,0
1976-03-31,0,0,0,179.6119791667,0
1976-02-27,0,0,0,179.4020021075,0
1976-01-30,0,0,0,181.9670825591,0
1975-12-31,0,0,0,168.9038151531,0
1975-11-28,0,0,0,168.957996769,0
1975-10-31,0,0,0,160.0550819672,0
1975-09-30,0,0,0,154.8398045072,0
1975-08-29,0,0,0,157.4043679682,0
1975-07-31,0,0,0,158.8767447985,0
1975-06-30,0,0,0,154.0473315624,0
1975-05-30,0,0,0,151.2690782358,0
1975-04-30,0,0,0,149.8584848115,0
1975-03-31,0,0,0,141.7589027911,0
1975-02-28,0,0,0,136.449842345,0
1975-01-31,0,0,0,128.6610677864,0
1974-12-31,0,0,0,115.4978996788,0
1974-11-29,0,0,0,120.3676936731,0
1974-10-31,0,0,0,127.3542245141,0
1974-09-30,0,0,0,119.5153825211,0
1974-08-30,0,0,0,132.0054607509,0
1974-07-31,0,0,0,141.0490894695,0
1974-06-28,0,0,0,148.2560418027,0
1974-05-31,0,0,0,151.4346701164,0
1974-04-30,0,0,0,153.4055142893,0
1974-03-29,0,0,0,160.7792207792,0
1974-02-28,0,0,0,174.0181020296,0
1974-01-31,0,0,0,176.1052334603,0
1973-12-31,0,0,0,171.6879334258,0
1973-11-30,0,0,0,167.7589453861,0
1973-10-31,0,0,0,179.6098356542,0
1973-09-28,0,0,0,175.3801386825,0
1973-08-31,0,0,0,173.6198409693,0
1973-07-31,0,0,0,170.8194378275,0
1973-06-29,0,0,0,174.4348909657,0
1973-05-31,0,0,0,192.2458857696,0
1973-04-30,0,0,0,202.7812545481,0
1973-03-30,0,0,0,213.6962541904,0
1973-02-28,0,0,0,212.6126126126,0
1973-01-31,0,0,0,234.9158848269,0
1972-12-29,0,0,0,237.7113774421,0
1972-11-30,0,0,0,232.6739806779,0
1972-10-31,0,0,0,221.7570677186,0
1972-09-29,0,0,0,219.6124158318,0
1972-08-31,0,0,0,222.0422189494,0
1972-07-31,0,0,0,214.6296597754,0
1972-06-30,0,0,0,209.6025848142,0
1972-05-31,0,0,0,216.1406936981,0
1972-04-28,0,0,0,211.9879321592,0
1972-03-31,0,0,0,208.2472384665,0
1972-02-29,0,0,0,206.1576113559,0
1972-01-31,0,0,0,200.1020408163,0
1971-12-31,0,0,0,196.434797184,0
1971-11-30,0,0,0,182.3870967742,0
1971-10-29,0,0,0,182.1858952414,0
1971-09-30,0,0,0,187.9187213059,0
1971-08-31,0,0,0,194.263809026,0
1971-07-30,0,0,0,193.4332860185,0
1971-06-30,0,0,0,198.4974000359,0
1971-05-31,0,0,0,199.2358078603,0
1971-04-30,0,0,0,208.7316073757,0
1971-03-31,0,0,0,201.8146286991,0
1971-02-26,0,0,0,193.5260115607,0
1971-01-29,0,0,0,191.0538074846,0
1970-12-31,0,0,0,182.49301806,0
1970-11-30,0,0,0,173.7032210017,0
1970-10-30,0,0,0,169.7337553528,0
1970-09-30,0,0,0,172.1057531186,0
1970-08-31,0,0,0,166.5686091975,0
1970-07-31,0,0,0,161.0966300503,0
1970-06-30,0,0,0,151.53416496,0
1970-05-29,0,0,0,155.1982870974,0
1970-04-30,0,0,0,165.4757028486,0
1970-03-31,0,0,0,182.3626885124,0
1970-02-27,0,0,0,181.638428598,0
1970-01-30,0,0,0,175.9970210389,0
